,file,title,words,chunks,pages,author,subject,keywords,producer,creator,created
10,pdfs/main.pdf,Menstrual symptoms and subjective well-being among postmenarchal adolescents,5247,53,10,"Pietro Gambadauro MD, MSc (Med Ed), PhD","AJOG Global Reports, 4 (2024) 100304. doi:10.1016/j.xagr.2023.100304","""adolescent health""; ""menstrual health""; ""menstruation disturbances""; ""WHO-5""; ""women's health""",Acrobat Distiller 10.0.0 (Windows),Elsevier,D:20240121032458+05'30'
11,pdfs/1471-2458-9-325.pdf,1471-2458-9-325.fm,3550,31,6,hjgy,,,Acrobat Distiller 7.0 (Windows),FrameMaker 7.1,D:20090917121848Z
12,pdfs/1756-0500-5-424.pdf,Identification of potential opinion leaders in child health promotion in Sweden using network analysis,2718,24,4,,,,Acrobat Distiller 10.0.0 (Windows),Arbortext Advanced Print Publisher 9.1.440/W Unicode,D:20120901044329+08'00'
13,pdfs/pone.0240840.pdf,Serious and persistent suicidality among European sexual minority youth,5098,47,11,"Pietro Gambadauro, Vladimir Carli, Danuta Wasserman, Judit Balazs, Marco Sarchiapone, Gergö Hadlaczky",,,PDFlib+PDI 9.0.6 (C++/Win64),Arbortext Advanced Print Publisher 11.0.3521/W Unicode-x64,D:20201012142114+05'30'
14,pdfs/S2054425115000278a.pdf,S2054425115000278jrv 1..8,5117,44,8,,,,Acrobat Distiller 8.1.0 (Windows),Arbortext Advanced Print Publisher 10.0.1465/W Unicode,D:20160211173530+05'30'
15,pdfs/1-s2.0-S0277953620302185-main.pdf,Cross-sectoral cooperation at the ministerial level in three Nordic countries - With a focus on health inequalities,7425,64,9,Karin Guldbrandsson,"Social Science & Medicine, 256 (2020) 112999. doi:10.1016/j.socscimed.2020.112999",Cross-sectoral cooperation; Health inequalities; Health policy; Nordic countries; Health in all policies; ,,Elsevier,D:20200730141435Z
16,pdfs/WJP-5-255.pdf,,3827,33,6,,,,Adobe PDF Library 7.0,Adobe InDesign CS2 (4.0),D:20150922151147+08'00'
17,pdfs/fpsyt-10-00825.pdf,The Fear of Losing—Nonsuicidal Self-Injury as a Protective Mechanism in Eating Disorders,8988,71,11,Eran Sagiv,"Background: This study examined the moderating role of loss aversion (LA) on the relationship between impulsivity, nonsuicidal self-injury (NSSI), suicidal attempts, and ideations among Eating Disorder (ED) patients.","eating disorder, anorexia, loss-aversion, impulsivity, nonsuicidal self-injury, suicidal behavior",Adobe PDF Library 15.0,Adobe InDesign CC 2015 (Windows),D:20191115171750+08'00'
18,pdfs/ckad100.pdf,OP-EURP230104 585..590,3837,34,6,,,,Adobe LiveCycle PDF Generator,Arbortext Advanced Print Publisher 9.0.114/W,D:20230730192052+05'30'
19,pdfs/1471-2458-7-267.pdf,1471-2458-7-267.fm,4949,43,8,abdulkadir.sufi,,,Acrobat Distiller 5.0.5 (Windows),FrameMaker 7.0,D:20071127130048Z00'00'
20,pdfs/cancer-2023-1-e49775.pdf,Untitled,9100,80,16,Unknown,,,"XEP PDF Generator – RenderX, Inc.",XEP 3.8.4 Server Stamped,D:20230912125542
21,pdfs/ijerph-08-03938.pdf,Internet Pathways in Suicidality: A Review of the Evidence,7090,59,15,"Tony Durkee 1,*, Gergo Hadlaczky 1, Michael Westerlund 2 and Vladimir Carli 1","The general aim of this study was to review the scientific literature concerning the Internet and suicidality and to examine the different pathways by which suicidal risks and prevention efforts are facilitated through the Internet. An online literature search was conducted using the MEDLINE and Google Scholar databases. The main themes that were investigated included pathological Internet use and suicidality, pro-suicide websites, suicide pacts on the Internet, and suicide prevention via the Internet. Articles were screened based on the titles and abstracts reporting on the themes of interest. Thereafter, articles were selected based on scientific relevance of the study, and included for full text assessment. The results illustrated that specific Internet pathways increased the risk for suicidal behaviours, particularly in adolescents and young people. Several studies found significant correlations between pathological Internet use and suicidal ideation and non-suicidal self-injury. Pro-suicide websites and online suicide pacts were observed as high-risk factors for facilitating suicidal behaviours, particularly among isolated and susceptible individuals. Conversely, the evidence also showed that the Internet could be an effective tool for suicide prevention, especially for socially-isolated and vulnerable individuals, who might otherwise be unreachable. It is this paradox that accentuates the need for further research in this field.
",Internet use; pathological Internet use; pro-suicide websites; suicide pacts; suicide prevention,Adobe PDF Library 10.0,Acrobat PDFMaker 10.0 for Word,D:20111011115253+02'00'
22,pdfs/ijerph-20-03771.pdf,Longitudinal Effects of Screen Time on Depressive Symptoms among Swedish Adolescents: The Moderating and Mediating Role of Coping Engagement Behavior,12199,102,22,"Sebastian Hökby, Joakim Westerlund, Jesper Alvarsson, Vladimir Carli and Gergö Hadlaczky","Studies suggest that hourly digital screen time increases adolescents’ depressive symptoms and emotional regulation difficulties. However, causal mechanisms behind such associations remain unclear. We hypothesized that problem-focused and/or emotion-focused engagement coping moderates and possibly mediates this association over time. Questionnaire data were collected in three waves from a representative sample of Swedish adolescents (0, 3 and 12 months; n = 4793; 51% boys; 99% aged 13–15). Generalized Estimating Equations estimated the main effects and moderation effects, and structural regression estimated the mediation pathways. The results showed that problem-focused coping had a main effect on future depression (b = 0.030; p < 0.001) and moderated the effect of screen time (b = 0.009; p < 0.01). The effect size of this moderation was maximum 3.4 BDI-II scores. The mediation results corroborated the finding that future depression was only indirectly correlated with baseline screen time, conditional upon intermittent problem-coping interference (C’-path: Std. beta = 0.001; p = 0.018). The data did not support direct effects, emotion-focused coping effects, or reversed causality. We conclude that hourly screen time can increase depressive symptoms in adolescent populations through interferences with problem-focused coping and other emotional regulation behaviors. Preventive programs could target coping interferences to improve public health. We discuss psychological models of why screen time may interfere with coping, including displacement effects and echo chamber phenomena.",screen time; internet use; depression; coping behaviors; emotional regulation; problem solving; social skills; adolescent development; longitudinal studies; public health,pdfTeX-1.40.21,LaTeX with hyperref,D:20230223141141+08'00'
23,pdfs/10.1177_1403494820921684.pdf,,1498,13,3,,,,Adobe PDF Library 9.9,Adobe InDesign CS5.5 (7.5),D:20201116111351+05'30'
24,pdfs/gox-5-e1472.pdf,,4343,35,7,,,,Adobe PDF Library 15.0,Adobe InDesign CC 2015 (Windows),D:20170930062013Z
25,pdfs/v014p00114.pdf,,3633,29,4,,,,Acrobat Distiller 5.0.5 (Windows),,D:20050318085555-05'00'
26,pdfs/pone.0191451.pdf,Correlates of sexual initiation among European adolescents,7157,72,16,"Pietro Gambadauro, Vladimir Carli, Gerg#_#x00F6; Hadlaczky, Marco Sarchiapone, Alan Apter, Judit Balazs, Raphaela Banzer, Julio Bobes, Romuald Brunner, Doina Cosman, Luca Farkas, Christian Haring, Christina W. Hoven, Michael Kaess, Jean Pierre Kahn, Elaine McMahon, Vita Postuvan, Merike Sisask, Airi V#_#x00E4;rnik, Nusa Zadravec Sedivy, Danuta Wasserman",,,PDFlib+PDI 8.0.2p1 (C++/Win64); modified using iTextSharp™ 5.5.3 ©2000-2014 iText Group NV (AGPL-version),Arbortext Advanced Print Publisher 11.0.2857/W Unicode-x64,D:20180202201619+05'30'
27,pdfs/1-s2.0-S0022437522001335-main.pdf,"A pilot study evaluating the effectiveness of preventing railway suicides by mid-track fencing, which restrict easy access to high-speed train tracks",4750,41,6,Johan Fredin-Knutzén,"Journal of Safety Research, 83 (2022) 232-237. doi:10.1016/j.jsr.2022.08.019",,Acrobat Distiller 8.0.0 (Windows),Elsevier,D:20221130162908+05'30'
28,pdfs/41380_2022_Article_1823.pdf,Increased suicide risk among younger women in winter during full moon in northern Europe. An artifact or a novel finding?,5037,43,7,Martin Plöderl,"Molecular Psychiatry, doi:10.1038/s41380-022-01823-0",,,Springer,D:20230107124853+05'30'
29,pdfs/formative_v6i6e33734.pdf,Untitled,6410,55,11,Unknown,,,"XEP PDF Generator – RenderX, Inc.",XEP 3.8.4 Server Stamped,D:20220725115643
30,pdfs/gox-7-e2083.pdf,,3471,30,7,,,,Adobe PDF Library 15.0,Adobe InDesign CC 2015 (Windows),D:20190126065356+05'30'
31,pdfs/jmir-2012-5-e122.pdf,Untitled,4714,40,8,Unknown,,,"XEP PDF Generator – RenderX, Inc.",XEP 3.8.4 Server Stamped,D:20210402072820
32,pdfs/pone.0293580.pdf,"Associations between sleep habits, quality, chronotype and depression in a large cross-sectional sample of Swedish adolescents",12152,109,24,"Theresa Lemke, Sebastian Hökby, Danuta Wasserman, Vladimir Carli, Gergö Hadlaczky",,,PDFlib+PDI 9.3.1p2 (C++/Win64),PTC Arbortext Layout Developer 12.1.6180/W-x64,D:20231027170658+05'30'
33,pdfs/fpsyt-10-00036.pdf,Risk Assessment Tools and Data-Driven Approaches for Predicting and Preventing Suicidal Behavior,6182,55,8,Sumithra Velupillai,Risk assessment of suicidal behavior is a time-consuming but notoriously inaccurate activity for mental health services globally.,"suicide risk prediction, suicidality, suicide risk assessment, clinical informatics, machine learning, natural language processing",dvips + MiKTeX GPL Ghostscript  9.0,LaTeX with hyperref package + hypdvips,D:20190213124624+05'30'
34,pdfs/The missing middle of childhood.pdf,The missing middle of childhood,4625,38,7,,,Missing middle; childhood; outcomes; risk; indicators; standardization,PDFlib+PDI 9.2.0 (C++/Win64),PTC Arbortext Publishing Engine,D:20230801205612+05'30'
35,pdfs/cri_45_3_173.pdf,,4881,40,7,,,,Acrobat Distiller 7.0 (Windows),Arbortext Advanced Print Publisher 9.1.510/W Unicode,D:20240415120425+05'30'
36,pdfs/ijerph-12-15032.pdf,Reading Books and Watching Films as a Protective Factor against Suicidal Ideation,2947,26,6,"Mami Kasahara-Kiritani, Gergö Hadlaczky, Michael Westerlund, Vladimir Carli, Camilla Wasserman, Alan Apter, Judit Balazs, Julio Bobes, Romuald Brunner, Elaine M. McMahon, Doina Cosman, Luca Farkas, Christian Haring, Michael Kaess, Jean-Pierre Kahn, Helen Keeley, Bogdan Nemes, Ur²a Mars Bitenc, Vita Postuvan, Pilar Saiz, Merike Sisask, Airi Värnik, Marco Sarchiapone, Christina W. Hoven and Danuta Wasserman","Reading books and watching films were investigated as protective factors for serious suicidal ideation (SSI) in young people with low perceived social belonging. Cross-sectional and longitudinal (12-month) analyses were performed using data from a representative European sample of 3256 students from the “Saving and Empowering Young Lives in Europe” study. Low social belonging was associated to SSI. However, reading books and watching films moderated this association, especially for those with lowest levels of belonging. This was true both at baseline and at 12 months of follow-up analyses. These media may act as sources of social support or mental health literacy and thus reduce the suicide risk constituted by low sense of belonging.",Saving and Empowering Young Lives in Europe (SEYLE); adolescent; belonging; mental health; protective factors; suicide,pdfTeX-1.40.15,LaTeX with hyperref package,D:20151215135230+08'00'
37,pdfs/1471-2458-13-1049.pdf,A comparative analysis of early child health and development services and outcomes in countries with different redistributive policies,7351,67,13,,,,Acrobat Distiller 10.1.5 (Windows),Arbortext Advanced Print Publisher 9.1.440/W Unicode,D:20131112061322+08'00'
38,pdfs/PIIS2589537022001535.pdf,"The NEVERMIND e-health system in the treatment of depressive symptoms among patients with severe somatic conditions: A multicentre, pragmatic randomised controlled trial",7486,68,12,Vladimir Carli,"eClinicalMedicine, 48 (2022) 101423. doi:10.1016/j.eclinm.2022.101423","""Depression""; ""Mental health""; ""e-health""; ""RCT""; ""Somatic conditions""; ""NEVERMIND""",Acrobat Distiller 10.0.0 (Windows),Elsevier,D:20220615172150+05'30'
39,pdfs/fpsyt-12-765128.pdf,"A Naturalistic, European Multi-Center Clinical Study of Electrodermal Reactivity and Suicide Risk Among Patients With Depression",7625,70,12,Marco Sarchiapone,Background: Electrodermal hyporeactivity has been proposed as a marker of suicidal risk.,"electrodermal activity (EDA), depression, suicide, suicidal behavior, suicide attempt, suicide risk assessment",dvips + MiKTeX GPL Ghostscript  9.0,LaTeX with hyperref package + hypdvips,D:20211228083145+05'30'
40,pdfs/s12978-018-0618-0.pdf,Psychopathology is associated with reproductive health risk in European adolescents,7930,73,12,Pietro Gambadauro,"Reproductive Health, 2018, doi:10.1186/s12978-018-0618-0","Adolescence,Behaviour,Mental health,Psychopathology,Reproductive health,Sexual initiation,SEYLE study",Acrobat Distiller 10.1.5 (Windows); modified using iText® 5.3.5 ©2000-2012 1T3XT BVBA (AGPL-version),Arbortext Advanced Print Publisher 9.1.440/W Unicode,D:20181101055904+08'00'
41,pdfs/v057p00584.pdf,,4485,38,5,,,,Acrobat Distiller Command 3.0 for Solaris 2.3 and later (SPARC),,D:20030710155005Z
42,pdfs/ijerph-18-04001.pdf,Measuring Attitudes toward Suicide Prevention among Occupational Staff Frequently Exposed to Suicidal Individuals: Psychometric Evaluation and Validation,9187,72,16,"Inga-Lill Ramberg, Sebastian Hökby, Linda Karlsson and Gergö Hadlaczky","As the attitudes of healthcare staff are thought to influence the quality and effectiveness of interventions targeting patients’ suicide risk, attitudes are often used as an outcome in the evaluation of suicide-preventive training. Due to various problems related to the validity and reliability of commonly used scales, there is a lack of overall agreement on how to measure these attitudes. Confirmatory factor analysis (CFA) was used to cross-validate previously used models and to investigate new models to measure professionals’ attitudes toward work with suicidal individuals and to test the longitudinal stability of the models by analyzing new sets of data. The population in the first study consisted of a heterogenous group of 1350 professionals who managed suicidal individuals relatively frequently. The second study included 640 professionals. The results of the cross-validation of previous models were described and a new questionnaire measuring attitudes toward suicide prevention, suicidal individuals, and organizational-facilitated self-efficacy (OSAQ-12) was presented. The three presented models retained a good fit and were stable over time. Valid and reliable measurement models that measure aspects of attitudes toward suicide are a prerequisite for conducting both cross-sectional and intervention studies.",suicide prevention; attitudes; staff; SEM; CFA; validity; reliability; questionnaire,pdfTeX-1.40.21,LaTeX with hyperref,D:20210410211814+08'00'
43,pdfs/gox-5-e1479.pdf,,4081,31,7,,,,Adobe PDF Library 15.0,Adobe InDesign CC 2015 (Windows),D:20170930061946Z
44,pdfs/251.pdf,British Medical Journal,2253,19,3,British Medical Journal,,,Acrobat Distiller Command 3.0 for Solaris 2.3 and later (SPARC),Copyright (c) British Medical Journal 1997,D:19990118153547
45,pdfs/fpsyg-11-01113.pdf,"Suicidal Thoughts and Behaviors Among Swedish Suicide-Bereaved Women: Increased Risk Associated With the Loss of a Child, Feelings of Guilt and Shame, and Perceived Avoidance From Family Members",5544,45,7,Michael Westerlund,Previous studies have shown that suicide-bereaved individuals may suffer increased risk of suicidal thoughts and behaviors (STBs) due to traumatic grief.,"suicidal thoughts and behaviors, bereavement, child bereavement, social avoidance, guilt, shame, postvention, women's health",pdfTeX-1.40.15,LaTeX with hyperref package,D:20200603185431+05'30'
46,pdfs/bmj.b5282.full.pdf,,6123,50,7,,,,Acrobat Distiller 4.05 for Sparc Solaris,Arbortext Advanced Print Publisher 9.0.220/W Unicode,D:20091210141318Z
47,pdfs/e060096.full.pdf,,7265,62,10,,,,Adobe PDF Library 15.0,Adobe InDesign 15.1 (Windows),D:20220622202058+05'30'
48,pdfs/TSWJ2012-654030.pdf,,3263,31,7,Ann Post {et al.},The Scientific World Journal,,Acrobat Distiller 7.0 (Windows),LaTeX with hyperref package,D:20120306101454+02'00'
49,pdfs/case-study-of-posts-before-and-after-a-suicide-on-a-swedish-internet-forum.pdf,476 476..482,6720,53,7,,,,Acrobat Distiller 5.0.5 (Windows),3B2 Total Publishing System 7.51f/W,D:20151115090835Z
50,pdfs/mental-2016-3-e31.pdf,Untitled,8875,81,14,Unknown,,,"XEP PDF Generator – RenderX, Inc.",XEP 3.8.4 Server Stamped,D:20210402131006
51,pdfs/pch14677.pdf,PaedsDec09.indb,3743,26,4,,,,Adobe PDF Library 8.0,Adobe InDesign CS3 (5.0.4),D:20091211135012-05'00'
